Category,Description,NutrientDataBankNumber,Carotene,Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,SugarTotal,Water,MonosaturatedFat,PolysaturatedFat,SaturatedFat,Total Lipid,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin_A,Vitamin_B12,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K
Mustard greens,"Mustard greens, fresh, cooked, no added fat",72122211,1823,41,5.01,0,0.5,3.4,3799,0,0.815,3.07,0,0.112,1,1.42,89.71,0.099,0.041,0.011,0.45,123,0.177,1.76,34,62,412,146,0.27,154,0,0.183,52.5,0.077,2.15,276.1
Mustard greens,"Mustard greens, frozen, cooked, no added fat",72122212,4233,0,3.1,0,0.3,2.8,6652,0,0.257,2.26,0,0.053,0.6,0.32,93.52,0.113,0.047,0.013,0.25,101,0.058,1.12,13,24,139,141,0.2,353,0,0.108,13.8,0.04,1.35,334.1
Mustard greens,"Mustard greens, canned, cooked, no added fat",72122213,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,0.01,1.46,284.7
Mustard greens,"Mustard greens, NS as to form, cooked",72122220,1775,40,4.87,2,0.8,3.3,3688,0,0.792,2.99,11,0.109,0.9,1.38,87.24,1.098,0.873,0.786,3.16,120,0.172,1.71,33,61,400,152,0.26,161,0,0.196,51,0.075,2.41,270.6
Mustard greens,"Mustard greens, fresh, cooked, fat added",72122221,1775,40,4.87,2,0.8,3.3,3688,0,0.792,2.99,11,0.109,0.9,1.38,87.24,1.098,0.873,0.786,3.16,120,0.172,1.71,33,61,400,152,0.26,161,0,0.196,51,0.075,2.41,270.6
Mustard greens,"Mustard greens, frozen, cooked, fat added",72122222,4115,0,3.02,2,0.5,2.7,6459,0,0.25,2.21,10,0.052,0.6,0.31,91.13,1.041,0.821,0.733,2.78,98,0.056,1.09,13,24,135,146,0.19,353,0,0.121,13.4,0.039,1.6,326.7
Mustard greens,"Mustard greens, canned, cooked, fat added",72122223,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,0.01,1.71,278.8
Poke greens,"Poke greens, cooked",72123020,5058,0,3.01,2,0.5,1.5,1691,0,1.065,2.24,10,0.242,0.9,1.55,90.26,0.945,0.946,0.81,2.92,52,0.122,1.16,14,32,178,139,0.18,432,0,0.124,79.4,0.068,1.12,106.9
Radicchio,"Radicchio, raw",72124100,16,0,4.48,0,10.9,0.9,8832,0,0.255,1.43,0,0.028,0.9,0.6,93.14,0.01,0.11,0.06,0.25,19,0.341,0.57,13,40,302,22,0.62,1,0,0.057,8,0.016,2.26,255.2
Spinach,"Spinach, raw",72125100,5626,0,3.63,0,19.3,2.2,12198,0,0.724,2.86,0,0.189,1,0.42,91.4,0.01,0.165,0.063,0.39,99,0.13,2.71,79,49,558,79,0.53,469,0,0.195,28.1,0.078,2.03,482.9
Spinach,"Spinach, fresh, cooked, no added fat",72125211,6269,0,4.26,0,22.6,2.6,13592,0,0.807,3.36,0,0.211,1.2,0.49,89.56,0.012,0.194,0.074,0.46,116,0.152,3.18,93,57,655,229,0.62,523,0,0.217,23.1,0.082,2.38,566.4
Spinach,"Spinach, frozen, cooked, no added fat",72125212,7215,0,4.79,0,24.7,3.7,15643,0,0.438,4,0,0.175,5.5,0.51,88.68,0,0.37,0.157,0.87,153,0.161,1.95,82,50,301,212,0.49,601,0,0.136,2.2,0.078,3.53,539.1
Spinach,"Spinach, canned, cooked, no added fat",72125213,5881,0,3.4,0,18.4,2.4,10575,0,0.388,2.81,0,0.138,1.4,0.4,91.78,0.013,0.211,0.081,0.5,127,0.18,2.3,76,44,346,322,0.46,490,0,0.1,13.6,0.016,1.94,461.6
Spinach,"Spinach, fresh, cooked with oil",72125217,6087,0,4.13,0,22,2.5,13198,0,0.783,3.26,0,0.204,1.1,0.48,86.45,1.442,1.595,0.539,3.86,113,0.148,3.09,90,56,636,222,0.6,507,0,0.211,22.4,0.08,2.71,554
Spinach,"Spinach, fresh, cooked with butter or margarine",72125218,6099,0,4.15,4,22.5,2.5,13198,0,0.784,3.28,24,0.206,1.2,0.48,87.22,0.773,0.605,1.301,3,114,0.148,3.09,90,56,636,245,0.6,533,0,0.25,22.4,0.08,2.61,551.5
